,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,is_match,ActualPolicyVehicle,ActualPolicyCoverage,PolicyMismatchFlag
13650,Toyota,1,Monday,Jul,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,1 year,2 vehicles,All Perils,True,Sedan,All Perils,0
13654,Toyota,1,Tuesday,Aug,0.0,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13688,Honda,1,Tuesday,Jul,0.75,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
13713,Pontiac,1,Thursday,Jul,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,1 to 2,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
13726,Mazda,1,Tuesday,Jul,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
13765,Toyota,1,Friday,Aug,0.25,0,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13796,Toyota,0,Friday,Aug,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,5 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13798,Pontiac,1,Thursday,Aug,0.0,1,Married,0,Utility - All Perils,Utility,40000 to 59000,1.0,0.25,0.6666666666666667,8 to 15,more than 30,2 to 4,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
13802,Mazda,1,Thursday,Aug,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,1,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13818,Toyota,1,Friday,Aug,0.0,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
13850,Honda,1,Tuesday,Aug,0.0,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,5 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
13855,Honda,1,Thursday,Aug,0.0,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,3 years,21 to 25,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sport,Collision,0
13881,Accura,1,Monday,Aug,0.25,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,4 to 8 years,2 vehicles,All Perils,True,Utility,All Perils,0
13899,Toyota,1,Monday,Aug,0.25,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.0,more than 30,more than 30,1,7 years,36 to 40,0,0,0,1 to 2,no change,3 to 4,All Perils,True,Sedan,All Perils,0
13909,Ford,1,Monday,Aug,0.25,1,Married,0,Sedan - All Perils,Sedan,40000 to 59000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
13915,Mazda,1,Thursday,Aug,0.25,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sport,Collision,0
13942,Honda,1,Friday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
13946,Honda,1,Thursday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.0,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
13960,Saab,1,Monday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
13974,Toyota,1,Friday,Aug,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
14010,Accura,1,Wednesday,Aug,0.5,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
14015,Pontiac,0,Friday,Aug,0.5,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14020,Toyota,1,Wednesday,Aug,1.0,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14056,Toyota,1,Friday,Aug,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14057,Chevrolet,1,Tuesday,Aug,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14083,Accura,1,Thursday,Sep,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,36 to 40,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14092,Mazda,1,Thursday,Aug,0.5,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14095,Honda,1,Thursday,Aug,0.75,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sport,Collision,0
14109,Honda,1,Friday,Aug,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,41 to 50,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14115,Toyota,1,Saturday,Aug,0.5,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,1,7 years,51 to 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14126,Pontiac,1,Monday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14127,Honda,1,Friday,Feb,0.5,1,Married,1,Sedan - Collision,Sedan,20000 to 29000,1.0,0.5,1.0,more than 30,more than 30,more than 4,6 years,31 to 35,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sedan,Collision,0
14133,Mazda,1,Monday,Aug,0.75,0,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,31 to 35,0,0,0,3 to 5,4 to 8 years,2 vehicles,Collision,True,Sedan,Collision,0
14141,Pontiac,1,Friday,Aug,0.75,1,Married,0,Sedan - All Perils,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,more than 7,51 to 65,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14182,Mazda,1,Tuesday,Aug,0.75,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,5 years,26 to 30,0,0,0,3 to 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14223,Pontiac,1,Friday,Dec,0.0,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.6666666666666667,none,more than 30,none,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14248,Honda,1,Friday,Sep,0.0,1,Single,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,new,16 to 17,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14288,Chevrolet,1,Wednesday,Aug,1.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14335,Accura,1,Friday,Sep,0.75,1,Single,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,1.0,more than 30,more than 30,1,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Utility,All Perils,0
14341,Toyota,1,Tuesday,Sep,0.0,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14366,Toyota,1,Tuesday,Sep,0.0,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14381,Mazda,1,Thursday,Sep,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
14387,Toyota,1,Friday,Sep,0.5,0,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14390,Mazda,1,Monday,Sep,0.0,1,Single,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,5 years,26 to 30,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14392,Pontiac,1,Thursday,Sep,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14405,Pontiac,1,Wednesday,Sep,0.25,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,5 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14415,Toyota,1,Monday,Dec,0.5,1,Single,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14434,Toyota,1,Thursday,Sep,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14457,Ford,1,Tuesday,Sep,0.25,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14471,Honda,1,Wednesday,Sep,0.75,1,Married,0,Sedan - All Perils,Sedan,less than 20000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14484,Honda,1,Wednesday,Sep,0.25,0,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.3333333333333333,8 to 15,15 to 30,none,5 years,26 to 30,0,0,0,none,2 to 3 years,1 vehicle,Collision,True,Sport,Collision,0
14513,Pontiac,1,Monday,Sep,0.25,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14515,Toyota,0,Sunday,Oct,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14523,Honda,1,Tuesday,Sep,0.25,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14538,Dodge,1,Wednesday,Sep,0.5,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,4 years,21 to 25,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14546,Honda,1,Monday,Sep,0.25,1,Single,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
14555,Pontiac,1,Thursday,Sep,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,7 years,31 to 35,0,0,0,1 to 2,no change,3 to 4,Collision,True,Sedan,Collision,0
14569,Toyota,0,Monday,Oct,0.25,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
14571,Pontiac,1,Monday,Sep,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14579,Pontiac,1,Wednesday,Sep,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,more than 4,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14586,Pontiac,1,Thursday,Sep,0.75,1,Single,1,Sedan - All Perils,Sedan,less than 20000,1.0,0.5,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,more than 5,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
14597,Mazda,0,Monday,Sep,0.75,0,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,1,6 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14602,Honda,1,Monday,Sep,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14669,VW,0,Thursday,Oct,0.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
14685,Mazda,1,Friday,Sep,0.75,1,Married,0,Sedan - Collision,Sedan,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
14750,Pontiac,1,Tuesday,Sep,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14807,Mazda,1,Thursday,Sep,1.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
14821,Chevrolet,1,Friday,Oct,0.0,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14875,Honda,1,Wednesday,Oct,0.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
14876,VW,1,Friday,Oct,0.0,1,Widow,0,Sedan - Collision,Sedan,60000 to 69000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,0,0,1,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14905,Toyota,0,Monday,Oct,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14942,Toyota,1,Tuesday,Oct,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,8 to 15,more than 30,none,4 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14978,Pontiac,1,Saturday,Oct,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,36 to 40,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
14997,Mercury,1,Tuesday,Oct,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
15011,Pontiac,1,Tuesday,Oct,0.75,1,Married,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,7 years,31 to 35,0,0,0,none,no change,1 vehicle,Liability,False,Sedan,Liability,1
15045,Mazda,1,Saturday,Oct,0.75,1,Married,1,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.5,0.3333333333333333,more than 30,more than 30,none,6 years,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
15061,Accura,1,Wednesday,Oct,0.5,1,Single,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,0,0,0,1 to 2,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
15065,Honda,1,Tuesday,Oct,0.5,1,Married,0,Sport - Collision,Sport,more than 69000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,over 65,0,0,0,none,no change,1 vehicle,Collision,True,Sport,Collision,0
15087,Honda,1,Monday,Oct,0.75,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,7 years,36 to 40,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
15106,Mazda,1,Friday,Oct,0.5,1,Married,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,more than 7,41 to 50,0,0,0,none,1 year,1 vehicle,Collision,True,Sedan,Collision,0
15111,Honda,1,Friday,Oct,0.5,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,none,more than 7,over 65,0,0,0,more than 5,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
15115,Honda,1,Tuesday,Oct,0.75,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,3 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
15120,Chevrolet,1,Tuesday,Oct,0.75,1,Married,0,Utility - All Perils,Utility,more than 69000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,7 years,41 to 50,0,0,0,1 to 2,4 to 8 years,2 vehicles,All Perils,True,Utility,All Perils,0
15130,Pontiac,1,Thursday,Nov,0.25,1,Married,0,Sedan - Collision,Sedan,less than 20000,1.0,0.25,0.6666666666666667,more than 30,more than 30,1,more than 7,51 to 65,0,0,0,more than 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
15143,Toyota,1,Monday,Oct,0.75,0,Widow,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,4 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
15181,Toyota,1,Wednesday,Oct,0.75,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,1,5 years,26 to 30,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
15286,Honda,1,Friday,Nov,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,none,more than 30,1,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
15300,Pontiac,1,Monday,Jun,0.5,1,Married,1,Sedan - All Perils,Sedan,less than 20000,1.0,0.5,1.0,more than 30,more than 30,none,7 years,36 to 40,0,0,0,none,2 to 3 years,1 vehicle,All Perils,True,Sedan,All Perils,0
15308,Saab,1,Tuesday,Nov,0.5,1,Single,0,Sedan - Collision,Sedan,30000 to 39000,1.0,0.25,0.6666666666666667,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
15345,Chevrolet,1,Friday,Nov,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,1.0,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
15368,Pontiac,1,Friday,Nov,0.5,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
15375,Pontiac,1,Monday,Nov,0.75,0,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,none,5 years,31 to 35,0,0,0,none,no change,3 to 4,Collision,True,Sedan,Collision,0
15404,Toyota,1,Friday,Dec,1.0,1,Married,0,Sedan - All Perils,Sedan,20000 to 29000,1.0,0.25,0.3333333333333333,more than 30,more than 30,none,6 years,51 to 65,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
15405,Pontiac,1,Tuesday,Dec,0.25,1,Single,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.0,more than 30,more than 30,none,6 years,31 to 35,0,0,0,3 to 5,no change,1 vehicle,Collision,True,Sedan,Collision,0
15408,Toyota,1,Wednesday,Nov,0.75,1,Married,0,Sedan - All Perils,Sedan,more than 69000,1.0,0.25,0.0,more than 30,more than 30,none,more than 7,41 to 50,0,0,0,none,no change,1 vehicle,All Perils,True,Sedan,All Perils,0
15409,Mazda,1,Sunday,Nov,0.5,0,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,0.6666666666666667,more than 30,more than 30,more than 4,7 years,51 to 65,0,0,0,1 to 2,no change,1 vehicle,Collision,True,Sedan,Collision,0
15412,Pontiac,1,Wednesday,Nov,0.75,0,Single,0,Sedan - Liability,Sport,30000 to 39000,1.0,0.25,1.0,more than 30,more than 30,more than 4,5 years,31 to 35,0,0,0,more than 5,no change,1 vehicle,Liability,False,Sedan,Liability,1
15415,Toyota,1,Tuesday,Nov,1.0,1,Married,0,Sedan - Collision,Sedan,20000 to 29000,1.0,0.25,1.0,more than 30,more than 30,2 to 4,6 years,31 to 35,0,0,0,none,no change,1 vehicle,Collision,True,Sedan,Collision,0
